species	pathway_class	class_detail	pathway_name	pathway_id
hsa	Metabolism	Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	hsa00563
hsa	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - lacto and neolacto series	hsa00601
hsa	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - globo series	hsa00603
hsa	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - ganglio series	hsa00604
hsa	Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation	hsa00511
hsa	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	hsa00730
hsa	Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism	hsa00740
hsa	Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism	hsa00750
hsa	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	hsa00760
hsa	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	hsa00770
hsa	Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism	hsa00780
hsa	Metabolism	Metabolism of cofactors and vitamins	Lipoic acid metabolism	hsa00785
hsa	Metabolism	Metabolism of cofactors and vitamins	Folate biosynthesis	hsa00790
hsa	Metabolism	Metabolism of cofactors and vitamins	One carbon pool by folate	hsa00670
hsa	Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism	hsa00830
hsa	Metabolism	Metabolism of cofactors and vitamins	Porphyrin and chlorophyll metabolism	hsa00860
hsa	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis	hsa00130
hsa	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	hsa00900
hsa	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism	hsa00232
hsa	Metabolism	Biosynthesis of other secondary metabolites	Butirosin and neomycin biosynthesis	hsa00524
hsa	Metabolism	Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450	hsa00980
hsa	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - cytochrome P450	hsa00982
hsa	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes	hsa00983
hsa	Genetic Information Processing	Transcription	RNA polymerase	hsa03020
hsa	Genetic Information Processing	Transcription	Basal transcription factors	hsa03022
hsa	Genetic Information Processing	Transcription	Spliceosome	hsa03040
hsa	Genetic Information Processing	Translation	Ribosome	hsa03010
hsa	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis	hsa00970
hsa	Genetic Information Processing	Translation	RNA transport	hsa03013
hsa	Genetic Information Processing	Translation	mRNA surveillance pathway	hsa03015
hsa	Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes	hsa03008
hsa	Genetic Information Processing	Folding  sorting and degradation	Protein export	hsa03060
hsa	Genetic Information Processing	Folding  sorting and degradation	Protein processing in endoplasmic reticulum	hsa04141
hsa	Genetic Information Processing	Folding  sorting and degradation	SNARE interactions in vesicular transport	hsa04130
hsa	Genetic Information Processing	Folding  sorting and degradation	Ubiquitin mediated proteolysis	hsa04120
hsa	Genetic Information Processing	Folding  sorting and degradation	Sulfur relay system	hsa04122
hsa	Genetic Information Processing	Folding  sorting and degradation	Proteasome	hsa03050
hsa	Genetic Information Processing	Folding  sorting and degradation	RNA degradation	hsa03018
hsa	Genetic Information Processing	Replication and repair	DNA replication	hsa03030
hsa	Genetic Information Processing	Replication and repair	Base excision repair	hsa03410
hsa	Genetic Information Processing	Replication and repair	Nucleotide excision repair	hsa03420
hsa	Genetic Information Processing	Replication and repair	Mismatch repair	hsa03430
hsa	Genetic Information Processing	Replication and repair	Homologous recombination	hsa03440
hsa	Genetic Information Processing	Replication and repair	Non-homologous end-joining	hsa03450
hsa	Genetic Information Processing	Replication and repair	Fanconi anemia pathway	hsa03460
hsa	Environmental Information Processing	Membrane transport	ABC transporters	hsa02010
hsa	Environmental Information Processing	Signal transduction	Ras signaling pathway	hsa04014
hsa	Environmental Information Processing	Signal transduction	Rap1 signaling pathway	hsa04015
hsa	Environmental Information Processing	Signal transduction	MAPK signaling pathway	hsa04010
hsa	Environmental Information Processing	Signal transduction	ErbB signaling pathway	hsa04012
hsa	Environmental Information Processing	Signal transduction	Wnt signaling pathway	hsa04310
hsa	Environmental Information Processing	Signal transduction	Notch signaling pathway	hsa04330
hsa	Environmental Information Processing	Signal transduction	Hedgehog signaling pathway	hsa04340
hsa	Environmental Information Processing	Signal transduction	TGF-beta signaling pathway	hsa04350
hsa	Environmental Information Processing	Signal transduction	Hippo signaling pathway	hsa04390
hsa	Environmental Information Processing	Signal transduction	VEGF signaling pathway	hsa04370
hsa	Environmental Information Processing	Signal transduction	Jak-STAT signaling pathway	hsa04630
hsa	Environmental Information Processing	Signal transduction	NF-kappa B signaling pathway	hsa04064
hsa	Environmental Information Processing	Signal transduction	TNF signaling pathway	hsa04668
hsa	Environmental Information Processing	Signal transduction	HIF-1 signaling pathway	hsa04066
hsa	Environmental Information Processing	Signal transduction	FoxO signaling pathway	hsa04068
hsa	Environmental Information Processing	Signal transduction	Calcium signaling pathway	hsa04020
hsa	Environmental Information Processing	Signal transduction	Phosphatidylinositol signaling system	hsa04070
hsa	Environmental Information Processing	Signal transduction	cAMP signaling pathway	hsa04024
hsa	Environmental Information Processing	Signal transduction	cGMP-PKG signaling pathway	hsa04022
hsa	Environmental Information Processing	Signal transduction	PI3K-Akt signaling pathway	hsa04151
hsa	Environmental Information Processing	Signal transduction	AMPK signaling pathway	hsa04152
hsa	Environmental Information Processing	Signal transduction	mTOR signaling pathway	hsa04150
hsa	Environmental Information Processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction	hsa04080
hsa	Environmental Information Processing	Signaling molecules and interaction	Cytokine-cytokine receptor interaction	hsa04060
hsa	Environmental Information Processing	Signaling molecules and interaction	ECM-receptor interaction	hsa04512
hsa	Environmental Information Processing	Signaling molecules and interaction	Cell adhesion molecules (CAMs)	hsa04514
hsa	Cellular Processes	Transport and catabolism	Endocytosis	hsa04144
hsa	Cellular Processes	Transport and catabolism	Phagosome	hsa04145
hsa	Cellular Processes	Transport and catabolism	Lysosome	hsa04142
hsa	Cellular Processes	Transport and catabolism	Peroxisome	hsa04146
hsa	Cellular Processes	Transport and catabolism	Regulation of autophagy	hsa04140
hsa	Cellular Processes	Cell motility	Regulation of actin cytoskeleton	hsa04810
hsa	Cellular Processes	Cell growth and death	Cell cycle	hsa04110
hsa	Cellular Processes	Cell growth and death	Oocyte meiosis	hsa04114
hsa	Cellular Processes	Cell growth and death	Apoptosis	hsa04210
hsa	Cellular Processes	Cell growth and death	p53 signaling pathway	hsa04115
hsa	Cellular Processes	Cellular community	Focal adhesion	hsa04510
hsa	Cellular Processes	Cellular community	Adherens junction	hsa04520
hsa	Cellular Processes	Cellular community	Tight junction	hsa04530
hsa	Cellular Processes	Cellular community	Gap junction	hsa04540
hsa	Organismal Systems	Immune system	Hematopoietic cell lineage	hsa04640
hsa	Organismal Systems	Immune system	Complement and coagulation cascades	hsa04610
hsa	Organismal Systems	Immune system	Platelet activation	hsa04611
hsa	Organismal Systems	Immune system	Toll-like receptor signaling pathway	hsa04620
hsa	Organismal Systems	Immune system	NOD-like receptor signaling pathway	hsa04621
hsa	Organismal Systems	Immune system	RIG-I-like receptor signaling pathway	hsa04622
hsa	Organismal Systems	Immune system	Cytosolic DNA-sensing pathway	hsa04623
hsa	Organismal Systems	Immune system	Natural killer cell mediated cytotoxicity	hsa04650
hsa	Organismal Systems	Immune system	Antigen processing and presentation	hsa04612
hsa	Organismal Systems	Immune system	T cell receptor signaling pathway	hsa04660
hsa	Organismal Systems	Immune system	B cell receptor signaling pathway	hsa04662
hsa	Organismal Systems	Immune system	Fc epsilon RI signaling pathway	hsa04664
hsa	Organismal Systems	Immune system	Fc gamma R-mediated phagocytosis	hsa04666
hsa	Organismal Systems	Immune system	Leukocyte transendothelial migration	hsa04670
hsa	Organismal Systems	Immune system	Intestinal immune network for IgA production	hsa04672
hsa	Organismal Systems	Immune system	Chemokine signaling pathway	hsa04062
hsa	Organismal Systems	Endocrine system	Insulin secretion	hsa04911
hsa	Organismal Systems	Endocrine system	Insulin signaling pathway	hsa04910
hsa	Organismal Systems	Endocrine system	Adipocytokine signaling pathway	hsa04920
hsa	Organismal Systems	Endocrine system	PPAR signaling pathway	hsa03320
hsa	Organismal Systems	Endocrine system	GnRH signaling pathway	hsa04912
hsa	Organismal Systems	Endocrine system	Ovarian steroidogenesis	hsa04913
hsa	Organismal Systems	Endocrine system	Estrogen signaling pathway	hsa04915
hsa	Organismal Systems	Endocrine system	Progesterone-mediated oocyte maturation	hsa04914
hsa	Organismal Systems	Endocrine system	Prolactin signaling pathway	hsa04917
hsa	Organismal Systems	Endocrine system	Oxytocin signaling pathway	hsa04921
hsa	Organismal Systems	Endocrine system	Thyroid hormone synthesis	hsa04918
hsa	Organismal Systems	Endocrine system	Thyroid hormone signaling pathway	hsa04919
hsa	Organismal Systems	Endocrine system	Melanogenesis	hsa04916
hsa	Organismal Systems	Endocrine system	Renin-angiotensin system	hsa04614
hsa	Organismal Systems	Circulatory system	Cardiac muscle contraction	hsa04260
hsa	Organismal Systems	Circulatory system	Adrenergic signaling in cardiomyocytes	hsa04261
hsa	Organismal Systems	Circulatory system	Vascular smooth muscle contraction	hsa04270
hsa	Organismal Systems	Digestive system	Salivary secretion	hsa04970
hsa	Organismal Systems	Digestive system	Gastric acid secretion	hsa04971
hsa	Organismal Systems	Digestive system	Pancreatic secretion	hsa04972
hsa	Organismal Systems	Digestive system	Bile secretion	hsa04976
hsa	Organismal Systems	Digestive system	Carbohydrate digestion and absorption	hsa04973
hsa	Organismal Systems	Digestive system	Protein digestion and absorption	hsa04974
hsa	Organismal Systems	Digestive system	Fat digestion and absorption	hsa04975
hsa	Organismal Systems	Digestive system	Vitamin digestion and absorption	hsa04977
hsa	Organismal Systems	Digestive system	Mineral absorption	hsa04978
hsa	Organismal Systems	Excretory system	Vasopressin-regulated water reabsorption	hsa04962
hsa	Organismal Systems	Excretory system	Aldosterone-regulated sodium reabsorption	hsa04960
hsa	Organismal Systems	Excretory system	Endocrine and other factor-regulated calcium reabsorption	hsa04961
hsa	Organismal Systems	Excretory system	Proximal tubule bicarbonate reclamation	hsa04964
hsa	Organismal Systems	Excretory system	Collecting duct acid secretion	hsa04966
hsa	Organismal Systems	Nervous system	Glutamatergic synapse	hsa04724
hsa	Organismal Systems	Nervous system	GABAergic synapse	hsa04727
hsa	Organismal Systems	Nervous system	Cholinergic synapse	hsa04725
hsa	Organismal Systems	Nervous system	Dopaminergic synapse	hsa04728
hsa	Organismal Systems	Nervous system	Serotonergic synapse	hsa04726
hsa	Organismal Systems	Nervous system	Long-term potentiation	hsa04720
hsa	Organismal Systems	Nervous system	Long-term depression	hsa04730
hsa	Organismal Systems	Nervous system	Retrograde endocannabinoid signaling	hsa04723
hsa	Organismal Systems	Nervous system	Synaptic vesicle cycle	hsa04721
hsa	Organismal Systems	Nervous system	Neurotrophin signaling pathway	hsa04722
hsa	Organismal Systems	Sensory system	Phototransduction	hsa04744
hsa	Organismal Systems	Sensory system	Olfactory transduction	hsa04740
hsa	Organismal Systems	Sensory system	Taste transduction	hsa04742
hsa	Organismal Systems	Sensory system	Inflammatory mediator regulation of TRP channels	hsa04750
hsa	Organismal Systems	Development	Dorso-ventral axis formation	hsa04320
hsa	Organismal Systems	Development	Axon guidance	hsa04360
hsa	Organismal Systems	Development	Osteoclast differentiation	hsa04380
hsa	Organismal Systems	Environmental adaptation	Circadian rhythm	hsa04710
hsa	Organismal Systems	Environmental adaptation	Circadian entrainment	hsa04713
hsa	Human Diseases	Cancers: Overview	Pathways in cancer	hsa05200
hsa	Human Diseases	Cancers: Overview	Transcriptional misregulation in cancer	hsa05202
hsa	Human Diseases	Cancers: Overview	MicroRNAs in cancer	hsa05206
hsa	Human Diseases	Cancers: Overview	Proteoglycans in cancer	hsa05205
hsa	Human Diseases	Cancers: Overview	Chemical carcinogenesis	hsa05204
hsa	Human Diseases	Cancers: Overview	Viral carcinogenesis	hsa05203
hsa	Human Diseases	Cancers: Specific types	Colorectal cancer	hsa05210
hsa	Human Diseases	Cancers: Specific types	Pancreatic cancer	hsa05212
hsa	Human Diseases	Cancers: Specific types	Glioma	hsa05214
hsa	Human Diseases	Cancers: Specific types	Thyroid cancer	hsa05216
hsa	Human Diseases	Cancers: Specific types	Acute myeloid leukemia	hsa05221
hsa	Human Diseases	Cancers: Specific types	Chronic myeloid leukemia	hsa05220
hsa	Human Diseases	Cancers: Specific types	Basal cell carcinoma	hsa05217
hsa	Human Diseases	Cancers: Specific types	Melanoma	hsa05218
hsa	Human Diseases	Cancers: Specific types	Renal cell carcinoma	hsa05211
hsa	Human Diseases	Cancers: Specific types	Bladder cancer	hsa05219
hsa	Human Diseases	Cancers: Specific types	Prostate cancer	hsa05215
hsa	Human Diseases	Cancers: Specific types	Endometrial cancer	hsa05213
hsa	Human Diseases	Cancers: Specific types	Small cell lung cancer	hsa05222
hsa	Human Diseases	Cancers: Specific types	Non-small cell lung cancer	hsa05223
hsa	Human Diseases	Immune diseases	Asthma	hsa05310
hsa	Human Diseases	Immune diseases	Systemic lupus erythematosus	hsa05322
hsa	Human Diseases	Immune diseases	Rheumatoid arthritis	hsa05323
hsa	Human Diseases	Immune diseases	Autoimmune thyroid disease	hsa05320
hsa	Human Diseases	Immune diseases	Inflammatory bowel disease (IBD)	hsa05321
hsa	Human Diseases	Immune diseases	Allograft rejection	hsa05330
hsa	Human Diseases	Immune diseases	Graft-versus-host disease	hsa05332
hsa	Human Diseases	Immune diseases	Primary immunodeficiency	hsa05340
hsa	Human Diseases	Neurodegenerative diseases	Alzheimer's disease	hsa05010
hsa	Human Diseases	Neurodegenerative diseases	Parkinson's disease	hsa05012
hsa	Human Diseases	Neurodegenerative diseases	Amyotrophic lateral sclerosis (ALS)	hsa05014
hsa	Human Diseases	Neurodegenerative diseases	Huntington's disease	hsa05016
hsa	Human Diseases	Neurodegenerative diseases	Prion diseases	hsa05020
hsa	Human Diseases	Substance dependence	Cocaine addiction	hsa05030
hsa	Human Diseases	Substance dependence	Amphetamine addiction	hsa05031
hsa	Human Diseases	Substance dependence	Morphine addiction	hsa05032
hsa	Human Diseases	Substance dependence	Nicotine addiction	hsa05033
hsa	Human Diseases	Substance dependence	Alcoholism	hsa05034
hsa	Human Diseases	Cardiovascular diseases	Hypertrophic cardiomyopathy (HCM)	hsa05410
hsa	Human Diseases	Cardiovascular diseases	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	hsa05412
hsa	Human Diseases	Cardiovascular diseases	Dilated cardiomyopathy	hsa05414
hsa	Human Diseases	Cardiovascular diseases	Viral myocarditis	hsa05416
hsa	Human Diseases	Endocrine and metabolic diseases	Type I diabetes mellitus	hsa04940
hsa	Human Diseases	Endocrine and metabolic diseases	Type II diabetes mellitus	hsa04930
hsa	Human Diseases	Endocrine and metabolic diseases	Non-alcoholic fatty liver disease (NAFLD)	hsa04932
hsa	Human Diseases	Endocrine and metabolic diseases	Maturity onset diabetes of the young	hsa04950
hsa	Human Diseases	Infectious diseases: Bacterial	Vibrio cholerae infection	hsa05110
hsa	Human Diseases	Infectious diseases: Bacterial	Epithelial cell signaling in Helicobacter pylori infection	hsa05120
hsa	Human Diseases	Infectious diseases: Bacterial	Pathogenic Escherichia coli infection	hsa05130
hsa	Human Diseases	Infectious diseases: Bacterial	Salmonella infection	hsa05132
hsa	Human Diseases	Infectious diseases: Bacterial	Shigellosis	hsa05131
hsa	Human Diseases	Infectious diseases: Bacterial	Pertussis	hsa05133
hsa	Human Diseases	Infectious diseases: Bacterial	Legionellosis	hsa05134
hsa	Human Diseases	Infectious diseases: Bacterial	Staphylococcus aureus infection	hsa05150
hsa	Human Diseases	Infectious diseases: Bacterial	Tuberculosis	hsa05152
hsa	Human Diseases	Infectious diseases: Bacterial	Bacterial invasion of epithelial cells	hsa05100
hsa	Human Diseases	Infectious diseases: Viral	HTLV-I infection	hsa05166
hsa	Human Diseases	Infectious diseases: Viral	Measles	hsa05162
hsa	Human Diseases	Infectious diseases: Viral	Influenza A	hsa05164
hsa	Human Diseases	Infectious diseases: Viral	Hepatitis B	hsa05161
hsa	Human Diseases	Infectious diseases: Viral	Hepatitis C	hsa05160
hsa	Human Diseases	Infectious diseases: Viral	Herpes simplex infection	hsa05168
hsa	Human Diseases	Infectious diseases: Viral	Epstein-Barr virus infection	hsa05169
hsa	Human Diseases	Infectious diseases: Parasitic	Amoebiasis	hsa05146
hsa	Human Diseases	Infectious diseases: Parasitic	Malaria	hsa05144
hsa	Human Diseases	Infectious diseases: Parasitic	Toxoplasmosis	hsa05145
hsa	Human Diseases	Infectious diseases: Parasitic	Leishmaniasis	hsa05140
hsa	Human Diseases	Infectious diseases: Parasitic	Chagas disease (American trypanosomiasis)	hsa05142
hsa	Human Diseases	Infectious diseases: Parasitic	African trypanosomiasis	hsa05143
dme	Metabolism	Global and overview maps	Metabolic pathways	dme01100
dme	Metabolism	Global and overview maps	Carbon metabolism	dme01200
dme	Metabolism	Global and overview maps	2-Oxocarboxylic acid metabolism	dme01210
dme	Metabolism	Global and overview maps	Fatty acid metabolism	dme01212
dme	Metabolism	Global and overview maps	Biosynthesis of amino acids	dme01230
dme	Metabolism	Global and overview maps	Degradation of aromatic compounds	dme01220
dme	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	dme00010
dme	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	dme00020
dme	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	dme00030
dme	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dme00040
dme	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	dme00051
dme	Metabolism	Carbohydrate metabolism	Galactose metabolism	dme00052
dme	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism	dme00053
dme	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	dme00500
dme	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	dme00520
dme	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	dme00620
dme	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	dme00630
dme	Metabolism	Carbohydrate metabolism	Propanoate metabolism	dme00640
dme	Metabolism	Carbohydrate metabolism	Butanoate metabolism	dme00650
dme	Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism	dme00562
dme	Metabolism	Energy metabolism	Oxidative phosphorylation	dme00190
dme	Metabolism	Energy metabolism	Nitrogen metabolism	dme00910
dme	Metabolism	Energy metabolism	Sulfur metabolism	dme00920
dme	Metabolism	Lipid metabolism	Fatty acid biosynthesis	dme00061
dme	Metabolism	Lipid metabolism	Fatty acid elongation	dme00062
dme	Metabolism	Lipid metabolism	Fatty acid degradation	dme00071
dme	Metabolism	Lipid metabolism	Synthesis and degradation of ketone bodies	dme00072
dme	Metabolism	Lipid metabolism	Steroid biosynthesis	dme00100
dme	Metabolism	Lipid metabolism	Glycerolipid metabolism	dme00561
dme	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	dme00564
dme	Metabolism	Lipid metabolism	Ether lipid metabolism	dme00565
dme	Metabolism	Lipid metabolism	Sphingolipid metabolism	dme00600
dme	Metabolism	Lipid metabolism	Arachidonic acid metabolism	dme00590
dme	Metabolism	Lipid metabolism	Linoleic acid metabolism	dme00591
dme	Metabolism	Lipid metabolism	alpha-Linolenic acid metabolism	dme00592
dme	Metabolism	Lipid metabolism	Biosynthesis of unsaturated fatty acids	dme01040
dme	Metabolism	Nucleotide metabolism	Purine metabolism	dme00230
dme	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	dme00240
dme	Metabolism	Amino acid metabolism	Alanine  aspartate and glutamate metabolism	dme00250
dme	Metabolism	Amino acid metabolism	Glycine  serine and threonine metabolism	dme00260
dme	Metabolism	Amino acid metabolism	Cysteine and methionine metabolism	dme00270
dme	Metabolism	Amino acid metabolism	Valine  leucine and isoleucine degradation	dme00280
dme	Metabolism	Amino acid metabolism	Valine  leucine and isoleucine biosynthesis	dme00290
dme	Metabolism	Amino acid metabolism	Lysine biosynthesis	dme00300
dme	Metabolism	Amino acid metabolism	Lysine degradation	dme00310
dme	Metabolism	Amino acid metabolism	Arginine and proline metabolism	dme00330
dme	Metabolism	Amino acid metabolism	Histidine metabolism	dme00340
dme	Metabolism	Amino acid metabolism	Tyrosine metabolism	dme00350
dme	Metabolism	Amino acid metabolism	Phenylalanine metabolism	dme00360
dme	Metabolism	Amino acid metabolism	Tryptophan metabolism	dme00380
dme	Metabolism	Amino acid metabolism	Phenylalanine  tyrosine and tryptophan biosynthesis	dme00400
dme	Metabolism	Metabolism of other amino acids	beta-Alanine metabolism	dme00410
dme	Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism	dme00430
dme	Metabolism	Metabolism of other amino acids	Selenocompound metabolism	dme00450
dme	Metabolism	Metabolism of other amino acids	Cyanoamino acid metabolism	dme00460
dme	Metabolism	Metabolism of other amino acids	D-Glutamine and D-glutamate metabolism	dme00471
dme	Metabolism	Metabolism of other amino acids	D-Arginine and D-ornithine metabolism	dme00472
dme	Metabolism	Metabolism of other amino acids	Glutathione metabolism	dme00480
dme	Metabolism	Glycan biosynthesis and metabolism	N-Glycan biosynthesis	dme00510
dme	Metabolism	Glycan biosynthesis and metabolism	Mucin type O-Glycan biosynthesis	dme00512
dme	Metabolism	Glycan biosynthesis and metabolism	Other types of O-glycan biosynthesis	dme00514
dme	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	dme00532
dme	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	dme00534
dme	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - keratan sulfate	dme00533
dme	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan degradation	dme00531
dme	Metabolism	Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	dme00563
dme	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - lacto and neolacto series	dme00601
dme	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - globo series	dme00603
dme	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - ganglio series	dme00604
dme	Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation	dme00511
dme	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	dme00730
dme	Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism	dme00740
dme	Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism	dme00750
dme	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	dme00760
dme	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	dme00770
dme	Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism	dme00780
dme	Metabolism	Metabolism of cofactors and vitamins	Lipoic acid metabolism	dme00785
dme	Metabolism	Metabolism of cofactors and vitamins	Folate biosynthesis	dme00790
dme	Metabolism	Metabolism of cofactors and vitamins	One carbon pool by folate	dme00670
dme	Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism	dme00830
dme	Metabolism	Metabolism of cofactors and vitamins	Porphyrin and chlorophyll metabolism	dme00860
dme	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis	dme00130
dme	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	dme00900
dme	Metabolism	Metabolism of terpenoids and polyketides	Insect hormone biosynthesis	dme00981
dme	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism	dme00232
dme	Metabolism	Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450	dme00980
dme	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - cytochrome P450	dme00982
dme	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes	dme00983
dme	Genetic Information Processing	Transcription	RNA polymerase	dme03020
dme	Genetic Information Processing	Transcription	Basal transcription factors	dme03022
dme	Genetic Information Processing	Transcription	Spliceosome	dme03040
dme	Genetic Information Processing	Translation	Ribosome	dme03010
dme	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis	dme00970
dme	Genetic Information Processing	Translation	RNA transport	dme03013
dme	Genetic Information Processing	Translation	mRNA surveillance pathway	dme03015
dme	Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes	dme03008
dme	Genetic Information Processing	Folding  sorting and degradation	Protein export	dme03060
dme	Genetic Information Processing	Folding  sorting and degradation	Protein processing in endoplasmic reticulum	dme04141
dme	Genetic Information Processing	Folding  sorting and degradation	SNARE interactions in vesicular transport	dme04130
dme	Genetic Information Processing	Folding  sorting and degradation	Ubiquitin mediated proteolysis	dme04120
dme	Genetic Information Processing	Folding  sorting and degradation	Sulfur relay system	dme04122
dme	Genetic Information Processing	Folding  sorting and degradation	Proteasome	dme03050
dme	Genetic Information Processing	Folding  sorting and degradation	RNA degradation	dme03018
dme	Genetic Information Processing	Replication and repair	DNA replication	dme03030
dme	Genetic Information Processing	Replication and repair	Base excision repair	dme03410
dme	Genetic Information Processing	Replication and repair	Nucleotide excision repair	dme03420
dme	Genetic Information Processing	Replication and repair	Mismatch repair	dme03430
dme	Genetic Information Processing	Replication and repair	Homologous recombination	dme03440
dme	Genetic Information Processing	Replication and repair	Non-homologous end-joining	dme03450
dme	Genetic Information Processing	Replication and repair	Fanconi anemia pathway	dme03460
dme	Environmental Information Processing	Membrane transport	ABC transporters	dme02010
dme	Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	dme04013
dme	Environmental Information Processing	Signal transduction	Wnt signaling pathway	dme04310
dme	Environmental Information Processing	Signal transduction	Notch signaling pathway	dme04330
dme	Environmental Information Processing	Signal transduction	Hedgehog signaling pathway	dme04340
dme	Environmental Information Processing	Signal transduction	TGF-beta signaling pathway	dme04350
dme	Environmental Information Processing	Signal transduction	Hippo signaling pathway - fly	dme04391
dme	Environmental Information Processing	Signal transduction	Jak-STAT signaling pathway	dme04630
dme	Environmental Information Processing	Signal transduction	FoxO signaling pathway	dme04068
dme	Environmental Information Processing	Signal transduction	Phosphatidylinositol signaling system	dme04070
dme	Environmental Information Processing	Signal transduction	mTOR signaling pathway	dme04150
dme	Environmental Information Processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction	dme04080
dme	Environmental Information Processing	Signaling molecules and interaction	ECM-receptor interaction	dme04512
dme	Cellular Processes	Transport and catabolism	Endocytosis	dme04144
dme	Cellular Processes	Transport and catabolism	Phagosome	dme04145
dme	Cellular Processes	Transport and catabolism	Lysosome	dme04142
dme	Cellular Processes	Transport and catabolism	Peroxisome	dme04146
dme	Cellular Processes	Transport and catabolism	Regulation of autophagy	dme04140
dme	Organismal Systems	Sensory system	Phototransduction - fly	dme04745
dme	Organismal Systems	Development	Dorso-ventral axis formation	dme04320
dme	Organismal Systems	Environmental adaptation	Circadian rhythm - fly	dme04711
